//13A
tetigi,tangere
tangere,aanraken
"qui, quae, quod", die
pendere,hangen
invasi,invadere
"respicere, -io","omkijken naar"
clarus,helder
dimittere,wegzenden
aura,briesje
"qui, quae, quod",welk
"cupido, -dines v",begeerte
licet mihi,"het is mij geoorloofd"
obstare,in de weg staan
"timor, timores m",angst
steti,stare
haesi,haerere
amicus,vriend

// 13B
impius,goddeloos
consilium, plan
detuli,deferre
deferre,overbrengen
ultro,"uit eigen beweging"
perfidus,onbetrouwbaar
decedere,weggaan
"fugere, -io",vluchten
certus,zeker
orare per + nv?,smeken
omittere,opgeven
propter + nv?,wegens
tyrannus,tiran
odi,"ik haat"
inimicus,vijand
perii,perire
perire,omkomen
ne ... quidem,"zelfs niet"
"infans, infantes",kind
mihi est + nom.,"ik heb"

//13D
erexi,erigere
erigere,oprichten
posui,ponere
olim,eens
recepi,recipere
"recipere, -io",krijgen
saepe,vaak
anima,adem
fortuna,lot
peregi,peragere
peragere,voltooien
statui,statuere
statuere,plaatsen
beatus,gelukkig
iuvat me,"het doet me plezier"
sub,onder
ascendere,beklimmen
adeo,zo
quaesivi,quaerere
repperi,reperire
credidi,credere
